ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;IDADE;TOTAL
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;.32                                               ;M;37;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;.32                                               ;M;64;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;M;62;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;M;84;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Espingarda                                        ;STANDER                                                               ;16                                                ;M;56;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;GLOCK                                                                 ;.380                                              ;M;43;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;40;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;30;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;32;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;39;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;41;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;45;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;39;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;44;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;61;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;65;1
2013;01;AC;Rio Branco                                        ;Ativo/V�lido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;66;1
2013;01;AC;Rio Branco                                        ;Vencido     ;Espingarda                                        ;ADLER                                                                 ;36                                                ;F;54;1
2013;01;AC;Rio Branco                                        ;Vencido     ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.32                                               ;M;53;1
2013;01;AC;Rio Branco                                        ;Vencido     ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;36                                                ;M;41;1
2013;01;AC;Rio Branco                                        ;Vencido     ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;28                                                ;M;68;1
2013;01;AC;Rio Branco                                        ;Vencido     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;38;2
2013;01;AC;Rio Branco                                        ;Vencido     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;46;1
